"","NAME","YEAR","POPULATION"
"90","Nebraska","2011",1840914
"91","Nevada","2011",2713114
"92","New Hampshire","2011",1320444
"93","New Jersey","2011",8828552
"94","New Mexico","2011",2080707
"95","New York","2011",19499921
"96","North Carolina","2011",9658913
"97","North Dakota","2011",685526
"98","Ohio","2011",11545735
"99","Oklahoma","2011",3788824
"100","Oregon","2011",3872672
"101","Pennsylvania","2011",12747052
"102","Rhode Island","2011",1053829
"103","South Carolina","2011",4672655
"104","South Dakota","2011",823740
"105","Tennessee","2011",6400298
"106","Texas","2011",25645504
"107","Utah","2011",2814797
"108","Vermont","2011",627197
"109","Virginia","2011",8102437
"110","Washington","2011",6827479
"111","West Virginia","2011",1856606
"112","Wisconsin","2011",5705840
"113","Wyoming","2011",567491
"114","Puerto Rico","2011",3678732
"115","United States","2012",313877662
"116","Northeast Region","2012",55782661
"117","Midwest Region","2012",67348275
"118","South Region","2012",117264196
"119","West Region","2012",73482530
"120","Alabama","2012",4816632
"121","Alaska","2012",730810
"122","Arizona","2012",6556344
"123","Arkansas","2012",2952876
"124","California","2012",37944551
"125","Colorado","2012",5193660
"126","Connecticut","2012",3595211
"127","Delaware","2012",915518
"128","District of Columbia","2012",635737
"129","Florida","2012",19302016
"130","Georgia","2012",9903580
"131","Hawaii","2012",1395199
"132","Idaho","2012",1595910
"133","Illinois","2012",12883029
"134","Indiana","2012",6538989
"135","Iowa","2012",3076844
"136","Kansas","2012",2886024
"137","Kentucky","2012",4387865
"138","Louisiana","2012",4602067
"139","Maine","2012",1328094
"140","Maryland","2012",5888375
"141","Massachusetts","2012",6664269
"142","Michigan","2012",9898289
"143","Minnesota","2012",5377500
"144","Mississippi","2012",2984599
"145","Missouri","2012",6026027
"146","Montana","2012",1004168
"147","Nebraska","2012",1853691
"148","Nevada","2012",2744670
"149","New Hampshire","2012",1324677
"150","New Jersey","2012",8845671
"151","New Mexico","2012",2087715
"152","New York","2012",19574362
"153","North Carolina","2012",9751810
"154","North Dakota","2012",702227
"155","Ohio","2012",11550971
"156","Oklahoma","2012",3819320
"157","Oregon","2012",3900102
"158","Pennsylvania","2012",12769123
"159","Rhode Island","2012",1054893
"160","South Carolina","2012",4719027
"161","South Dakota","2012",833859
"162","Tennessee","2012",6455752
"163","Texas","2012",26084120
"164","Utah","2012",2854146
"165","Vermont","2012",626361
"166","Virginia","2012",8187456
"167","Washington","2012",6898599
"168","West Virginia","2012",1857446
"169","Wisconsin","2012",5720825
"170","Wyoming","2012",576656
"171","Puerto Rico","2012",3634488
"172","United States","2013",316059947
"173","Northeast Region","2013",55912775
"174","Midwest Region","2013",67576524
"175","South Region","2013",118397213
"176","West Region","2013",74173435
"177","Alabama","2013",4831586
"178","Alaska","2013",737626
"179","Arizona","2013",6634690
"180","Arkansas","2013",2960459
"181","California","2013",38253768
"182","Colorado","2013",5270774
"183","Connecticut","2013",3595792
"184","Delaware","2013",924062
"185","District of Columbia","2013",651559
"186","Florida","2013",19551678
"187","Georgia","2013",9975592
"188","Hawaii","2013",1408822
"189","Idaho","2013",1612053
"190","Illinois","2013",12895778
"191","Indiana","2013",6570575
"192","Iowa","2013",3093935
"193","Kansas","2013",2894306
"194","Kentucky","2013",4406906
"195","Louisiana","2013",4626040
"196","Maine","2013",1328543
"197","Maryland","2013",5925197
"198","Massachusetts","2013",6715158
"199","Michigan","2013",9914802
"200","Minnesota","2013",5414722
"201","Mississippi","2013",2989839
"202","Missouri","2013",6042989
"203","Montana","2013",1014158
"204","Nebraska","2013",1865813
"205","Nevada","2013",2776956
"206","New Hampshire","2013",1327272
"207","New Jersey","2013",8857821
"208","New Mexico","2013",2092833
"209","New York","2013",19626488
"210","North Carolina","2013",9846717
"211","North Dakota","2013",723149
"212","Ohio","2013",11579692
"213","Oklahoma","2013",3853891
"214","Oregon","2013",3924110
"215","Pennsylvania","2013",12779538
"216","Rhode Island","2013",1055560
"217","South Carolina","2013",4766469
"218","South Dakota","2013",842751
"219","Tennessee","2013",6496943
"220","Texas","2013",26479646
"221","Utah","2013",2898773
"222","Vermont","2013",626603
"223","Virginia","2013",8255861
"224","Washington","2013",6966252
"225","West Virginia","2013",1854768
"226","Wisconsin","2013",5738012
"227","Wyoming","2013",582620
"228","Puerto Rico","2013",3593077
"229","United States","2014",318386329
"230","Northeast Region","2014",56021339
"231","Midwest Region","2014",67765576
"232","South Region","2014",119666248
"233","West Region","2014",74933166
"234","Alabama","2014",4843737
"235","Alaska","2014",737075
"236","Arizona","2014",6732873
"237","Arkansas","2014",2968759
"238","California","2014",38586706
"239","Colorado","2014",5352637
"240","Connecticut","2014",3595697
"241","Delaware","2014",933131
"242","District of Columbia","2014",663603
"243","Florida","2014",19853880
"244","Georgia","2014",10071204
"245","Hawaii","2014",1415335
"246","Idaho","2014",1632248
"247","Illinois","2014",12885092
"248","Indiana","2014",6596019
"249","Iowa","2014",3110643
"250","Kansas","2014",2901861
"251","Kentucky","2014",4416992
"252","Louisiana","2014",4645938
"253","Maine","2014",1331217
"254","Maryland","2014",5960064
"255","Massachusetts","2014",6764864
"256","Michigan","2014",9932033
"257","Minnesota","2014",5452665
"258","Mississippi","2014",2991892
"259","Missouri","2014",6059130
"260","Montana","2014",1022657
"261","Nebraska","2014",1879955
"262","Nevada","2014",2818935
"263","New Hampshire","2014",1334257
"264","New Jersey","2014",8867277
"265","New Mexico","2014",2090236
"266","New York","2014",19653431
"267","North Carolina","2014",9937295
"268","North Dakota","2014",738736
"269","Ohio","2014",11606573
"270","Oklahoma","2014",3879187
"271","Oregon","2014",3965447
"272","Pennsylvania","2014",12792392
"273","Rhode Island","2014",1056511
"274","South Carolina","2014",4826858
"275","South Dakota","2014",849670
"276","Tennessee","2014",6544617
"277","Texas","2014",26963092
"278","Utah","2014",2938327
"279","Vermont","2014",625693
"280","Virginia","2014",8315430
"281","Washington","2014",7057531
"282","West Virginia","2014",1850569
"283","Wisconsin","2014",5753199
"284","Wyoming","2014",583159
"285","Puerto Rico","2014",3534874
"286","United States","2015",320738994
"287","Northeast Region","2015",56052790
"288","Midwest Region","2015",67885682
"289","South Region","2015",121049223
"290","West Region","2015",75751299
"291","Alabama","2015",4854803
"292","Alaska","2015",738430
"293","Arizona","2015",6832810
"294","Arkansas","2015",2979732
"295","California","2015",38904296
"296","Colorado","2015",5454328
"297","Connecticut","2015",3588561
"298","Delaware","2015",942065
"299","District of Columbia","2015",677014
"300","Florida","2015",20219111
"301","Georgia","2015",10183353
"302","Hawaii","2015",1422999
"303","Idaho","2015",1652495
"304","Illinois","2015",12859585
"305","Indiana","2015",6611442
"306","Iowa","2015",3122541
"307","Kansas","2015",2910717
"308","Kentucky","2015",4429126
"309","Louisiana","2015",4666998
"310","Maine","2015",1329098
"311","Maryland","2015",5988528
"312","Massachusetts","2015",6797484
"313","Michigan","2015",9934483
"314","Minnesota","2015",5484002
"315","Mississippi","2015",2990231
"316","Missouri","2015",6075411
"317","Montana","2015",1031495
"318","Nebraska","2015",1892059
"319","Nevada","2015",2868531
"320","New Hampshire","2015",1337480
"321","New Jersey","2015",8870312
"322","New Mexico","2015",2090071
"323","New York","2015",19657321
"324","North Carolina","2015",10037218
"325","North Dakota","2015",755537
"326","Ohio","2015",11622315
"327","Oklahoma","2015",3910518
"328","Oregon","2015",4018542
"329","Pennsylvania","2015",12789838
"330","Rhode Island","2015",1056886
"331","South Carolina","2015",4896006
"332","South Dakota","2015",854663
"333","Tennessee","2015",6595354
"334","Texas","2015",27468531
"335","Utah","2015",2983626
"336","Vermont","2015",625810
"337","Virginia","2015",8367303
"338","Washington","2015",7167287
"339","West Virginia","2015",1843332
"340","Wisconsin","2015",5762927
"341","Wyoming","2015",586389
"342","Puerto Rico","2015",3473232
"343","United States","2016",323071755
"344","Northeast Region","2016",56063777
"345","Midwest Region","2016",68018175
"346","South Region","2016",122419547
"347","West Region","2016",76570256
"348","Alabama","2016",4866824
"349","Alaska","2016",742575
"350","Arizona","2016",6944767
"351","Arkansas","2016",2991815
"352","California","2016",39149186
"353","Colorado","2016",5543844
"354","Connecticut","2016",3579830
"355","Delaware","2016",949989
"356","District of Columbia","2016",687576
"357","Florida","2016",20627237
"358","Georgia","2016",10308442
"359","Hawaii","2016",1428885
"360","Idaho","2016",1684036
"361","Illinois","2016",12821709
"362","Indiana","2016",6637898
"363","Iowa","2016",3133210
"364","Kansas","2016",2912977
"365","Kentucky","2016",4440306
"366","Louisiana","2016",4681346
"367","Maine","2016",1332348
"368","Maryland","2016",6007014
"369","Massachusetts","2016",6827280
"370","Michigan","2016",9954117
"371","Minnesota","2016",5525360
"372","Mississippi","2016",2990595
"373","Missouri","2016",6091384
"374","Montana","2016",1042137
"375","Nebraska","2016",1906483
"376","Nevada","2016",2919555
"377","New Hampshire","2016",1343694
"378","New Jersey","2016",8873584
"379","New Mexico","2016",2092555
"380","New York","2016",19636391
"381","North Carolina","2016",10161802
"382","North Dakota","2016",756114
"383","Ohio","2016",11640060
"384","Oklahoma","2016",3928143
"385","Oregon","2016",4093271
"386","Pennsylvania","2016",12788468
"387","Rhode Island","2016",1057816
"388","South Carolina","2016",4963031
"389","South Dakota","2016",863693
"390","Tennessee","2016",6651277
"391","Texas","2016",27914064
"392","Utah","2016",3044241
"393","Vermont","2016",624366
"394","Virginia","2016",8417651
"395","Washington","2016",7299961
"396","West Virginia","2016",1832435
"397","Wisconsin","2016",5775170
"398","Wyoming","2016",585243
"399","Puerto Rico","2016",3406672
"400","United States","2017",325122128
"401","Northeast Region","2017",56083383
"402","Midwest Region","2017",68160342
"403","South Region","2017",123611036
"404","West Region","2017",77267367
"405","Alabama","2017",4877989
"406","Alaska","2017",740983
"407","Arizona","2017",7048088
"408","Arkansas","2017",3003855
"409","California","2017",39337785
"410","Colorado","2017",5617421
"411","Connecticut","2017",3575324
"412","Delaware","2017",957942
"413","District of Columbia","2017",697079
"414","Florida","2017",20977089
"415","Georgia","2017",10417031
"416","Hawaii","2017",1425763
"417","Idaho","2017",1719745
"418","Illinois","2017",12779893
"419","Indiana","2017",6662068
"420","Iowa","2017",3143734
"421","Kansas","2017",2910892
"422","Kentucky","2017",4455590
"423","Louisiana","2017",4673673
"424","Maine","2017",1335743
"425","Maryland","2017",6028186
"426","Massachusetts","2017",6863560
"427","Michigan","2017",9976752
"428","Minnesota","2017",5569283
"429","Mississippi","2017",2990674
"430","Missouri","2017",6111382
"431","Montana","2017",1053862
"432","Nebraska","2017",1916998
"433","Nevada","2017",2972097
"434","New Hampshire","2017",1350395
"435","New Jersey","2017",8888147
"436","New Mexico","2017",2092844
"437","New York","2017",19593849
"438","North Carolina","2017",10275758
"439","North Dakota","2017",756755
"440","Ohio","2017",11665706
"441","Oklahoma","2017",3933602
"442","Oregon","2017",4147294
"443","Pennsylvania","2017",12794679
"444","Rhode Island","2017",1056554
"445","South Carolina","2017",5027102
"446","South Dakota","2017",873732
"447","Tennessee","2017",6714748
"448","Texas","2017",28291024
"449","Utah","2017",3103540
"450","Vermont","2017",625132
"451","Virginia","2017",8471011
"452","Washington","2017",7427951
"453","West Virginia","2017",1818683
"454","Wisconsin","2017",5793147
"455","Wyoming","2017",579994
"456","Puerto Rico","2017",3325284
"457","United States","2018",326838199
"458","Northeast Region","2018",56084543
"459","Midwest Region","2018",68263019
"460","South Region","2018",124649156
"461","West Region","2018",77841481
"462","Alabama","2018",4891628
"463","Alaska","2018",736624
"464","Arizona","2018",7164228
"465","Arkansas","2018",3012161
"466","California","2018",39437463
"467","Colorado","2018",5697155
"468","Connecticut","2018",3574561
"469","Delaware","2018",966985
"470","District of Columbia","2018",704147
"471","Florida","2018",21254926
"472","Georgia","2018",10519389
"473","Hawaii","2018",1423102
"474","Idaho","2018",1752074
"475","Illinois","2018",12724685
"476","Indiana","2018",6698481
"477","Iowa","2018",3149900
"478","Kansas","2018",2912748
"479","Kentucky","2018",4464273
"480","Louisiana","2018",4664450
"481","Maine","2018",1340123
"482","Maryland","2018",6042153
"483","Massachusetts","2018",6885720
"484","Michigan","2018",9987286
"485","Minnesota","2018",5608762
"486","Mississippi","2018",2982879
"487","Missouri","2018",6125986
"488","Montana","2018",1061818
"489","Nebraska","2018",1925512
"490","Nevada","2018",3030725
"491","New Hampshire","2018",1355064
"492","New Jersey","2018",8891730
"493","New Mexico","2018",2093754
"494","New York","2018",19544098
"495","North Carolina","2018",10391358
"496","North Dakota","2018",760062
"497","Ohio","2018",11680892
"498","Oklahoma","2018",3943488
"499","Oregon","2018",4183538
"500","Pennsylvania","2018",12809107
"501","Rhode Island","2018",1059338
"502","South Carolina","2018",5091702
"503","South Dakota","2018",879386
"504","Tennessee","2018",6778180
"505","Texas","2018",28624564
"506","Utah","2018",3155153
"507","Vermont","2018",624802
"508","Virginia","2018",8510920
"509","Washington","2018",7526793
"510","West Virginia","2018",1805953
"511","Wisconsin","2018",5809319
"512","Wyoming","2018",579054
"513","Puerto Rico","2018",3193344
"514","United States","2019",328329953
"515","Northeast Region","2019",56002934
"516","Midwest Region","2019",68340091
"517","South Region","2019",125686544
"518","West Region","2019",78300384
"519","Alabama","2019",4907965
"520","Alaska","2019",733603
"521","Arizona","2019",7291843
"522","Arkansas","2019",3020985
"523","California","2019",39437610
"524","Colorado","2019",5758486
"525","Connecticut","2019",3566022
"526","Delaware","2019",976668
"527","District of Columbia","2019",708253
"528","Florida","2019",21492056
"529","Georgia","2019",10628020
"530","Hawaii","2019",1415615
"531","Idaho","2019",1789060
"532","Illinois","2019",12667017
"533","Indiana","2019",6731010
"534","Iowa","2019",3159596
"535","Kansas","2019",2912635
"536","Kentucky","2019",4472345
"537","Louisiana","2019",4658285
"538","Maine","2019",1345770
"539","Maryland","2019",6054954
"540","Massachusetts","2019",6894883
"541","Michigan","2019",9984795
"542","Minnesota","2019",5640053
"543","Mississippi","2019",2978227
"544","Missouri","2019",6140475
"545","Montana","2019",1070123
"546","Nebraska","2019",1932571
"547","Nevada","2019",3090771
"548","New Hampshire","2019",1360783
"549","New Jersey","2019",8891258
"550","New Mexico","2019",2099634
"551","New York","2019",19463131
"552","North Carolina","2019",10501384
"553","North Dakota","2019",763724
"554","Ohio","2019",11696507
"555","Oklahoma","2019",3960676
"556","Oregon","2019",4216116
"557","Pennsylvania","2019",12798883
"558","Rhode Island","2019",1058158
"559","South Carolina","2019",5157702
"560","South Dakota","2019",887127
"561","Tennessee","2019",6830325
"562","Texas","2019",28986794
"563","Utah","2019",3203383
"564","Vermont","2019",624046
"565","Virginia","2019",8556642
"566","Washington","2019",7614024
"567","West Virginia","2019",1795263
"568","Wisconsin","2019",5824581
"569","Wyoming","2019",580116
"570","Puerto Rico","2019",3193553
"571","United States","2020",329484123
"572","Northeast Region","2020",55849869
"573","Midwest Region","2020",68316744
"574","South Region","2020",126662754
"575","West Region","2020",78654756
"576","Alabama","2020",4921532
"577","Alaska","2020",731158
"578","Arizona","2020",7421401
"579","Arkansas","2020",3030522
"580","California","2020",39368078
"581","Colorado","2020",5807719
"582","Connecticut","2020",3557006
"583","Delaware","2020",986809
"584","District of Columbia","2020",712816
"585","Florida","2020",21733312
"586","Georgia","2020",10710017
"587","Hawaii","2020",1407006
"588","Idaho","2020",1826913
"589","Illinois","2020",12587530
"590","Indiana","2020",6754953
"591","Iowa","2020",3163561
"592","Kansas","2020",2913805
"593","Kentucky","2020",4477251
"594","Louisiana","2020",4645318
"595","Maine","2020",1350141
"596","Maryland","2020",6055802
"597","Massachusetts","2020",6893574
"598","Michigan","2020",9966555
"599","Minnesota","2020",5657342
"600","Mississippi","2020",2966786
"601","Missouri","2020",6151548
"602","Montana","2020",1080577
"603","Nebraska","2020",1937552
"604","Nevada","2020",3138259
"605","New Hampshire","2020",1366275
"606","New Jersey","2020",8882371
"607","New Mexico","2020",2106319
"608","New York","2020",19336776
"609","North Carolina","2020",10600823
"610","North Dakota","2020",765309
"611","Ohio","2020",11693217
"612","Oklahoma","2020",3980783
"613","Oregon","2020",4241507
"614","Pennsylvania","2020",12783254
"615","Rhode Island","2020",1057125
"616","South Carolina","2020",5218040
"617","South Dakota","2020",892717
"618","Tennessee","2020",6886834
"619","Texas","2020",29360759
"620","Utah","2020",3249879
"621","Vermont","2020",623347
"622","Virginia","2020",8590563
"623","Washington","2020",7693612
"624","West Virginia","2020",1784787
"625","Wisconsin","2020",5832655
"626","Wyoming","2020",582328
"627","Puerto Rico","2020",3159343
