"","NAME","YEAR","POPULATION"
"1","United States","2010",309327143
"2","Northeast Region","2010",55380764
"3","Midwest Region","2010",66975328
"4","South Region","2010",114869421
"5","West Region","2010",72101630
"6","Alabama","2010",4785514
"7","Alaska","2010",713982
"8","Arizona","2010",6407342
"9","Arkansas","2010",2921998
"10","California","2010",37319550
"11","Colorado","2010",5047539
"12","Connecticut","2010",3579173
"13","Delaware","2010",899647
"14","District of Columbia","2010",605282
"15","Florida","2010",18846143
"16","Georgia","2010",9712209
"17","Hawaii","2010",1364004
"18","Idaho","2010",1570819
"19","Illinois","2010",12840545
"20","Indiana","2010",6490555
"21","Iowa","2010",3050819
"22","Kansas","2010",2858266
"23","Kentucky","2010",4348464
"24","Louisiana","2010",4544635
"25","Maine","2010",1327651
"26","Maryland","2010",5788784
"27","Massachusetts","2010",6566440
"28","Michigan","2010",9877597
"29","Minnesota","2010",5310934
"30","Mississippi","2010",2970615
"31","Missouri","2010",5996089
"32","Montana","2010",990730
"33","Nebraska","2010",1829591
"34","Nevada","2010",2702483
"35","New Hampshire","2010",1316807
"36","New Jersey","2010",8799451
"37","New Mexico","2010",2064614
"38","New York","2010",19399956
"39","North Carolina","2010",9574586
"40","North Dakota","2010",674752
"41","Ohio","2010",11539449
"42","Oklahoma","2010",3760014
"43","Oregon","2010",3837614
"44","Pennsylvania","2010",12711406
"45","Rhode Island","2010",1053994
"46","South Carolina","2010",4635846
"47","South Dakota","2010",816193
"48","Tennessee","2010",6355518
"49","Texas","2010",25241897
"50","Utah","2010",2775413
"51","Vermont","2010",625886
"52","Virginia","2010",8024004
"53","Washington","2010",6743009
"54","West Virginia","2010",1854265
"55","Wisconsin","2010",5690538
"56","Wyoming","2010",564531
"57","Puerto Rico","2010",3721525
"58","United States","2011",311583481
"59","Northeast Region","2011",55608318
"60","Midwest Region","2011",67164092
"61","South Region","2011",116019483
"62","West Region","2011",72791588
"63","Alabama","2011",4799642
"64","Alaska","2011",722349
"65","Arizona","2011",6473416
"66","Arkansas","2011",2941038
"67","California","2011",37636311
"68","Colorado","2011",5121900
"69","Connecticut","2011",3588632
"70","Delaware","2011",907590
"71","District of Columbia","2011",620290
"72","Florida","2011",19055607
"73","Georgia","2011",9803630
"74","Hawaii","2011",1379562
"75","Idaho","2011",1584272
"76","Illinois","2011",12867783
"77","Indiana","2011",6517250
"78","Iowa","2011",3066772
"79","Kansas","2011",2869677
"80","Kentucky","2011",4370817
"81","Louisiana","2011",4576244
"82","Maine","2011",1328473
"83","Maryland","2011",5840241
"84","Massachusetts","2011",6614218
"85","Michigan","2011",9883053
"86","Minnesota","2011",5346620
"87","Mississippi","2011",2979147
"88","Missouri","2011",6011182
"89","Montana","2011",997518
