"","NAME","YEAR","POPULATION"
"210","Alabama","2004",4530729
"211","Alaska","2004",659286
"212","Arizona","2004",5652404
"213","Arkansas","2004",2749686
"214","California","2004",35574576
"215","Colorado","2004",4575013
"216","Connecticut","2004",3496094
"217","Delaware","2004",830803
"218","District of Columbia","2004",567754
"219","Florida","2004",17415318
"220","Georgia","2004",8769252
"221","Hawaii","2004",1273569
"222","Idaho","2004",1391802
"223","Illinois","2004",12589773
"224","Indiana","2004",6233007
"225","Iowa","2004",2953635
"226","Kansas","2004",2734373
"227","Kentucky","2004",4146101
"228","Louisiana","2004",4552238
"229","Maine","2004",1313688
"230","Maryland","2004",5546935
"231","Massachusetts","2004",6412281
"232","Michigan","2004",10055315
"233","Minnesota","2004",5087713
"234","Mississippi","2004",2889010
"235","Missouri","2004",5747741
"236","Montana","2004",930009
"237","Nebraska","2004",1749370
"238","Nevada","2004",2346222
"239","New Hampshire","2004",1290121
"240","New Jersey","2004",8634561
"241","New Mexico","2004",1903808
"242","New York","2004",19171567
"243","North Carolina","2004",8553152
"244","North Dakota","2004",644705
"245","Ohio","2004",11452251
"246","Oklahoma","2004",3525233
"247","Oregon","2004",3569463
"248","Pennsylvania","2004",12410722
"249","Rhode Island","2004",1074579
"250","South Carolina","2004",4210921
"251","South Dakota","2004",770396
"252","Tennessee","2004",5910809
"253","Texas","2004",22394023
"254","Utah","2004",2401580
"255","Vermont","2004",619920
"256","Virginia","2004",7475575
"257","Washington","2004",6178645
"258","West Virginia","2004",1816438
"259","Wisconsin","2004",5514026
"260","Wyoming","2004",509106
"261","United States","2005",295516599
"262","Alabama","2005",4569805
"263","Alaska","2005",666946
"264","Arizona","2005",5839077
"265","Arkansas","2005",2781097
"266","California","2005",35827943
"267","Colorado","2005",4631888
"268","Connecticut","2005",3506956
"269","Delaware","2005",845150
"270","District of Columbia","2005",567136
"271","Florida","2005",17842038
"272","Georgia","2005",8925922
"273","Hawaii","2005",1292729
"274","Idaho","2005",1428241
"275","Illinois","2005",12609903
"276","Indiana","2005",6278616
"277","Iowa","2005",2964454
"278","Kansas","2005",2745299
"279","Kentucky","2005",4182742
"280","Louisiana","2005",4576628
"281","Maine","2005",1318787
"282","Maryland","2005",5592379
"283","Massachusetts","2005",6403290
"284","Michigan","2005",10051137
"285","Minnesota","2005",5119598
"286","Mississippi","2005",2905943
"287","Missouri","2005",5790300
"288","Montana","2005",940102
"289","Nebraska","2005",1761497
"290","Nevada","2005",2432143
"291","New Hampshire","2005",1298492
"292","New Jersey","2005",8651974
"293","New Mexico","2005",1932274
"294","New York","2005",19132610
"295","North Carolina","2005",8705407
"296","North Dakota","2005",646089
